NAME,TICKLER,PRICE
Alphabet Class A,GOOGL,"1,519.44"
Amazon,AMZN,"2,155.67"
Automatic Data Processing,ADP,179.93
"Becton, Dickinson and Company",BDX,256.00
Berkshire Hathaway Inc,BRK.B,226.77
Beyond Meat,BYND,122.03
Euronet Worldwide Inc,EEFT,144.30
Exxon Mobil Corporation,XOM,59.88
Facebook,FB,217.80
Heineken,HKHHF,99.30
IQVIA Holdings Inc,IQV,165.42
Mastercard,MA,341.24
Paypal,PYPL,122.27
Roper,ROP,389.33
Salesforce,CRM,191.09
Stryker Corporation,SYK,221.93
The Trade Desk Inc,TTD,308.44
Thermo Fisher Scientific,TMO,337.37
The TJX Companies Inc,TJX,63.46
Visa,V,211.20
